Move,Score,Matrix,Previous_Move
1,0,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left
2,4,"[4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
3,4,"[4, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left
4,4,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 2, 2, 0]",down
5,8,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 4, 4]",right
6,8,"[0, 2, 4, 2, 0, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0]",up
7,8,"[2, 4, 2, 0, 4, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]",left
8,12,"[2, 4, 2, 0, 4, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2]",left
9,20,"[2, 4, 2, 2, 8, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up
10,24,"[0, 2, 4, 4, 0, 0, 0, 8, 2, 0, 0, 2, 0, 0, 0, 0]",right
11,36,"[2, 8, 0, 0, 8, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0]",left
12,36,"[0, 0, 0, 0, 2, 0, 0, 0, 8, 8, 0, 2, 4, 2, 0, 0]",down
13,52,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 16, 2, 0, 0, 4, 2]",right
14,60,"[0, 2, 16, 4, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0]",up
15,68,"[2, 2, 16, 8, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up
16,68,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 16, 0, 2, 2, 4, 8]",down
17,72,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 16, 0, 4, 4, 8]",right
18,72,"[0, 4, 2, 2, 0, 0, 4, 16, 0, 0, 0, 8, 2, 0, 0, 0]",up
19,76,"[0, 0, 4, 4, 0, 2, 4, 16, 0, 0, 0, 8, 0, 0, 0, 2]",right
20,84,"[2, 2, 8, 4, 0, 0, 0, 16, 0, 0, 0, 8, 0, 0, 0, 2]",up
21,88,"[4, 8, 4, 0, 16, 0, 0, 0, 8, 0, 0, 0, 2, 2, 0, 0]",left
22,88,"[4, 0, 0, 0, 16, 0, 0, 2, 8, 8, 0, 0, 2, 2, 4, 0]",down
23,108,"[0, 2, 0, 4, 0, 0, 16, 2, 0, 0, 0, 16, 0, 0, 4, 4]",right
24,116,"[0, 0, 2, 4, 0, 0, 16, 2, 0, 0, 0, 16, 2, 0, 0, 8]",right
25,116,"[0, 0, 2, 4, 0, 0, 16, 2, 0, 2, 0, 16, 0, 0, 2, 8]",right
26,116,"[0, 2, 2, 4, 0, 0, 16, 2, 2, 0, 2, 16, 0, 0, 0, 8]",up
27,124,"[4, 4, 2, 0, 16, 2, 0, 0, 4, 16, 0, 0, 8, 0, 0, 0]",left
28,132,"[0, 0, 8, 2, 0, 2, 16, 2, 0, 0, 4, 16, 0, 0, 0, 8]",right
29,136,"[0, 2, 8, 4, 0, 2, 16, 16, 0, 0, 4, 8, 0, 0, 0, 0]",up
30,138,"[2, 0, 0, 0, 0, 0, 8, 4, 0, 0, 16, 16, 0, 4, 4, 8]",down
31,138,"[2, 4, 8, 4, 0, 2, 16, 16, 0, 0, 4, 8, 0, 0, 0, 0]",up
32,138,"[0, 0, 0, 0, 0, 2, 8, 4, 0, 4, 16, 16, 2, 2, 4, 8]",down
33,174,"[0, 0, 0, 0, 2, 8, 4, 0, 4, 32, 2, 0, 4, 4, 8, 0]",left
34,182,"[2, 8, 4, 0, 8, 32, 2, 0, 2, 4, 8, 0, 0, 0, 0, 0]",up
35,182,"[0, 2, 8, 4, 0, 8, 32, 2, 4, 2, 4, 8, 0, 0, 0, 0]",right
36,182,"[2, 8, 4, 0, 8, 32, 2, 0, 4, 2, 4, 8, 0, 2, 0, 0]",left
37,182,"[0, 2, 8, 4, 0, 8, 32, 2, 4, 2, 4, 8, 2, 0, 0, 2]",right
38,186,"[0, 2, 8, 4, 0, 8, 32, 2, 4, 2, 4, 8, 4, 0, 0, 4]",right
39,194,"[2, 8, 4, 0, 8, 32, 2, 0, 4, 2, 4, 8, 8, 2, 0, 0]",left
40,198,"[2, 8, 4, 8, 8, 32, 2, 0, 4, 4, 4, 2, 8, 0, 0, 0]",up
41,198,"[2, 8, 4, 8, 8, 32, 2, 2, 4, 4, 4, 0, 8, 0, 4, 0]",up
